City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hithadhoo,MV,-0.6,73.0833,80.98,78,100,10.78,overcast clouds
80,Carnarvon,AU,-24.8667,113.6333,68.07,73,2,14.97,clear sky
81,Esperance,AU,-33.8667,121.9,56.23,58,64,3.47,broken clouds
82,Chuy,UY,-33.6971,-53.4616,70.7,73,0,13.94,clear sky
83,Codajas,BR,-3.8367,-62.0569,75.04,98,100,1.1,overcast clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,67.87,85,100,4.0,overcast clouds
85,Kommunisticheskiy,RU,61.6789,64.4819,12.07,95,97,5.57,overcast clouds
86,Kabo,CF,7.6994,18.629,79.25,29,95,4.14,overcast clouds
87,Letca,RO,47.3333,23.45,41.85,94,86,3.44,overcast clouds
88,Inhambane,MZ,-23.865,35.3833,78.67,94,8,8.01,clear sky
89,Ahipara,NZ,-35.1667,173.1667,71.49,88,100,7.7,moderate rain
90,Coquimbo,CL,-29.9533,-71.3436,67.73,59,0,12.66,clear sky
91,Rio Grande,BR,-32.035,-52.0986,77.11,75,0,15.17,clear sky
92,Lompoc,US,34.6391,-120.4579,66.78,57,1,14.97,clear sky
93,Binabalian,PH,16.4202,119.9279,79.39,75,76,11.48,broken clouds
94,Xifeng,CN,42.7372,124.7222,15.13,56,0,7.05,clear sky
95,Bengkulu,ID,-3.8004,102.2655,74.91,88,100,3.69,overcast clouds
96,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,58,98,18.16,overcast clouds
97,Chirkey,RU,42.9613,46.9787,40.15,84,7,7.58,clear sky
98,Jamestown,US,42.097,-79.2353,42.39,50,1,8.01,clear sky
99,Sobolevo,RU,54.4299,31.8996,32.23,95,100,8.16,overcast clouds
100,Sierpc,PL,52.8568,19.6691,24.51,97,50,4.07,scattered clouds
101,Hope,US,33.6671,-93.5916,55.45,43,0,3.47,clear sky
102,Sungairaya,ID,0.7,108.9,77.13,91,96,5.19,overcast clouds
103,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,99,7.78,overcast clouds
